SubID,RewardLevel,PenaltyLevel,CueDisplayed,Interval,IntervalLength_Ideal,IntervalLength_Actual,IntervalLengthNoISI_Actual,TaskBugCorrected,RewardLevelTaskCode,PenaltyLevelTaskCode
2013,0,1,Loss1_Pen2,37,6.8,6.81528868398163,5.56528868398163,1,0,0
2013,0,0,Loss1_Pen1,38,6,6.00123747898033,4.50123747898033,0,0,0
2013,0,1,Loss1_Pen2,39,8.4,8.58192325301934,6.58192325301934,0,0,1
2013,0,0,Loss1_Pen1,40,7.6,7.69861192198005,5.69861192198005,1,0,1
2013,0,1,Loss1_Pen2,41,8.4,8.64849821903044,6.89849821903044,0,0,1
2013,0,0,Loss1_Pen1,42,6,6.00124975497602,4.25124975497602,0,0,0
2013,0,1,Loss1_Pen2,43,6.8,6.80124791397247,5.05124791397247,1,0,0
2013,0,1,Loss1_Pen2,44,6.8,6.93190138600767,5.18190138600767,1,0,0
2013,0,0,Loss1_Pen1,45,6,6.00125000899425,5.00125000899425,0,0,0
2013,0,1,Loss1_Pen2,46,8.4,8.41535185702378,6.66535185702378,0,0,1
2013,0,1,Loss1_Pen2,47,6.8,6.81535798800178,6.06535798800178,1,0,0
2013,0,0,Loss1_Pen1,48,7.6,7.60009080398595,6.10009080398595,1,0,1
2013,1,0,Loss2_Pen1,49,6,6.00125082500745,4.25125082500745,0,1,0
2013,1,0,Loss2_Pen1,50,7.6,7.60012004198506,5.10012004198506,1,1,1
2013,1,0,Loss2_Pen1,51,7.6,7.6155625670217,5.1155625670217,1,1,1
2013,1,0,Loss2_Pen1,52,6,6.01539561996469,4.76539561996469,0,1,0
2013,1,1,Loss2_Pen2,53,8.4,8.40125971095404,6.15125971095404,0,1,1
2013,1,0,Loss2_Pen1,54,7.6,7.61527771601686,5.36527771601686,1,1,1
2013,1,0,Loss2_Pen1,55,6,6.00124944600975,4.25124944600975,0,1,0
2013,1,1,Loss2_Pen2,56,6.8,6.80124557495583,6.55124557495583,1,1,0
2013,1,1,Loss2_Pen2,57,8.4,8.63197049096925,6.63197049096925,0,1,1
2013,1,0,Loss2_Pen1,58,7.6,7.61534763599047,5.61534763599047,1,1,1
2013,1,1,Loss2_Pen2,59,6.8,6.81553155602887,5.31553155602887,1,1,0
2013,1,1,Loss2_Pen2,60,8.4,8.40125363395782,6.65125363395782,0,1,1
2013,1,1,Loss2_Pen2,61,6.8,6.80125556798885,5.05125556798885,1,1,0
2013,1,1,Loss2_Pen2,62,6.8,6.81532897200668,5.56532897200668,1,1,0
2013,1,0,Loss2_Pen1,63,6,6.01543681096518,4.51543681096518,0,1,0
2013,1,1,Loss2_Pen2,64,8.4,8.41534283501096,5.91534283501096,0,1,1
2014,1,0,Loss2_Pen1,1,6,6.0161825880059,4.0161825880059,0,1,0
2014,1,0,Loss2_Pen1,2,6,6.23153198702494,4.23153198702494,0,1,0
2014,1,1,Loss2_Pen2,3,8.4,8.40129720198456,5.40129720198456,0,1,1
2014,1,0,Loss2_Pen1,4,7.6,7.84849403001135,5.34849403001135,1,1,1
2014,1,1,Loss2_Pen2,5,8.4,8.49865541001782,5.74865541001782,0,1,1
2014,1,0,Loss2_Pen1,6,7.6,7.60125105403131,5.35125105403131,1,1,1
2014,1,1,Loss2_Pen2,7,6.8,7.03290157200536,4.78290157200536,1,1,0
2014,1,1,Loss2_Pen2,8,8.4,8.41533734102268,5.91533734102268,0,1,1
2014,1,1,Loss2_Pen2,9,6.8,6.8012734479853,4.5512734479853,1,1,0
2014,1,1,Loss2_Pen2,10,6.8,6.81531844200799,4.81531844200799,1,1,0
2014,1,0,Loss2_Pen1,11,7.6,7.88207010395126,5.38207010395126,1,1,1
2014,1,0,Loss2_Pen1,12,7.6,7.60130467597628,5.10130467597628,1,1,1
2014,1,1,Loss2_Pen2,13,8.4,8.41533294698456,5.91533294698456,0,1,1
2014,1,1,Loss2_Pen2,14,6.8,6.81537781300722,4.81537781300722,1,1,0
2014,1,0,Loss2_Pen1,15,6,6.00125749700237,3.75125749700237,0,1,0
2014,1,0,Loss2_Pen1,16,6,6.11548668897012,4.11548668897012,0,1,0
2014,0,1,Loss1_Pen2,17,8.4,8.41536555497441,6.16536555497441,0,0,1
2014,0,0,Loss1_Pen1,18,6,6.01584494602866,4.01584494602866,0,0,0
2014,0,1,Loss1_Pen2,19,6.8,6.81536562601104,4.56536562601104,1,0,0
2014,0,0,Loss1_Pen1,20,6,6.28204520599684,4.78204520599684,0,0,0
2014,0,1,Loss1_Pen2,21,6.8,7.01539502601372,5.26539502601372,1,0,0
2014,0,1,Loss1_Pen2,22,8.4,8.61535407102201,6.11535407102201,0,0,1
2014,0,1,Loss1_Pen2,23,6.8,6.8008657899918,4.8008657899918,1,0,0
2014,0,0,Loss1_Pen1,24,7.6,7.60131577699212,5.35131577699212,1,0,1
2014,0,1,Loss1_Pen2,25,6.8,6.80054144002497,4.80054144002497,1,0,0
2014,0,0,Loss1_Pen1,26,7.6,7.61559763597324,5.36559763597324,1,0,1
2014,0,1,Loss1_Pen2,27,8.4,8.41569454403361,6.16569454403361,0,0,1
2014,0,0,Loss1_Pen1,28,7.6,7.6153757830034,5.3653757830034,1,0,1
2014,0,0,Loss1_Pen1,29,6,6.00128285901155,4.25128285901155,0,0,0
2014,0,0,Loss1_Pen1,30,6,6.00126867799554,4.25126867799554,0,0,0
2014,0,1,Loss1_Pen2,31,8.4,8.41535456100246,6.16535456100246,0,0,1
2014,0,0,Loss1_Pen1,32,7.6,7.60124112298945,5.60124112298945,1,0,1
2014,1,1,Loss2_Pen2,33,8.4,8.40128256502794,5.90128256502794,0,1,1
2014,0,1,Loss1_Pen2,34,8.4,8.41525859897956,5.91525859897956,0,0,1
2014,0,1,Loss1_Pen2,35,6.8,6.81527804996585,5.56527804996585,0,0,1
2014,0,1,Loss1_Pen2,36,6,6.01539054996101,5.01539054996101,0,0,1
2014,0,1,Loss1_Pen2,37,7.6,7.60124885500409,5.35124885500409,0,0,1
2014,1,1,Loss2_Pen2,38,6,6.00124134600628,4.00124134600628,0,1,1
2014,1,1,Loss2_Pen2,39,7.6,7.60125150502427,5.35125150502427,0,1,1
2014,0,1,Loss1_Pen2,40,6.8,6.81550656899344,4.81550656899344,0,0,1
2014,1,1,Loss2_Pen2,41,6.8,6.80036475497764,5.05036475497764,0,1,1
2014,1,1,Loss2_Pen2,42,7.6,7.86521661799634,5.86521661799634,0,1,1
2014,1,1,Loss2_Pen2,43,6,6.18195824301802,4.18195824301802,0,1,1
2014,1,1,Loss2_Pen2,44,8.4,8.41535357298562,5.91535357298562,0,1,1
2014,0,1,Loss1_Pen2,45,8.4,8.40040919999592,5.65040919999592,0,0,1
2014,0,1,Loss1_Pen2,46,6,6.00124600098934,4.00124600098934,0,0,1
2014,1,1,Loss2_Pen2,47,6.8,6.81636459496804,4.81636459496804,0,1,1
2014,0,1,Loss1_Pen2,48,7.6,7.61529992503347,5.36529992503347,0,0,1
