subj_idx,rt,response,RewardLevel,PenaltyLevel,BlockType,Congruency,congruence,IntervalTrialNum,scaledTrialSession,scaledRunningTime
2011,0.532678832001693,1,High Reward,High Penalty,fixedPenalty,Incongruent,-0.5,4,-1.39881234830523,-0.282070953073584
2011,1.00093886500326,1,High Reward,High Penalty,fixedPenalty,Congruent,0.5,5,-1.39585217816453,0.345156830572414
2011,0.491954404002172,1,High Reward,High Penalty,fixedPenalty,Congruent,0.5,6,-1.39289200802384,0.717176942352582
2011,0.47870695399979,1,High Reward,High Penalty,fixedPenalty,Congruent,0.5,7,-1.38993183788314,1.08255470818251
2011,0.485470638999686,1,High Reward,High Penalty,fixedPenalty,Incongruent,-0.5,8,-1.38697166774245,1.4513238237182
2011,0.543855935000465,1,High Reward,High Penalty,fixedPenalty,Congruent,0.5,9,-1.38401149760175,1.84936765509542
2011,0.794633584999247,1,Low Reward,High Penalty,fixedPenalty,Congruent,0.5,1,-1.38105132746105,-1.46750838604149
2011,0.566042112001014,1,Low Reward,High Penalty,fixedPenalty,Incongruent,-0.5,2,-1.37809115732036,-1.05834028071537
2011,0.735461054999178,1,Low Reward,High Penalty,fixedPenalty,Incongruent,-0.5,3,-1.37513098717966,-0.564224564361023
2011,0.536942034999811,1,Low Reward,High Penalty,fixedPenalty,Incongruent,-0.5,4,-1.37217081703897,-0.169647401335941
2011,0.398958731002494,1,Low Reward,High Penalty,fixedPenalty,Incongruent,-0.5,5,-1.36921064689827,0.155744156886493
2011,0.801572016000137,1,Low Reward,High Penalty,fixedPenalty,Incongruent,-0.5,6,-1.36625047675758,0.683008280971566
2011,0.666613358000177,1,Low Reward,High Penalty,fixedPenalty,Incongruent,-0.5,7,-1.36329030661688,1.14260337477119
2011,0.454324940001243,1,Low Reward,High Penalty,fixedPenalty,Congruent,0.5,8,-1.36033013647619,1.49575586162947
2011,0.512619026998436,1,Low Reward,High Penalty,fixedPenalty,Incongruent,-0.5,9,-1.35736996633549,1.87813733162181
2011,0.58761006900022,1,High Reward,High Penalty,fixedPenalty,Incongruent,-0.5,1,-1.3514496260541,-1.57131114150415
2011,0.589435647001665,1,High Reward,High Penalty,fixedPenalty,Incongruent,-0.5,2,-1.34848945591341,-1.15041338613629
2011,0.491879893001169,1,High Reward,High Penalty,fixedPenalty,Congruent,0.5,3,-1.34552928577271,-0.778430634591159
2011,0.61127870099881,1,High Reward,High Penalty,fixedPenalty,Congruent,0.5,4,-1.34256911563202,-0.346580649078415
2011,0.597246925000945,1,High Reward,High Penalty,fixedPenalty,Congruent,0.5,5,-1.33960894549132,0.0782337250179923
2011,0.445740560000559,1,High Reward,High Penalty,fixedPenalty,Congruent,0.5,6,-1.33664877535062,0.427081955455407
2011,0.853903668001294,1,High Reward,High Penalty,fixedPenalty,Incongruent,-0.5,7,-1.33368860520993,0.980585464227864
2011,0.543653655000526,1,High Reward,High Penalty,fixedPenalty,Incongruent,-0.5,8,-1.33072843506923,1.37852787127525
2011,0.523971095997695,1,High Reward,High Penalty,fixedPenalty,Congruent,0.5,9,-1.32776826492854,1.76660133252104
2011,0.306139937001717,1,High Reward,High Penalty,fixedPenalty,Congruent,0.5,10,-1.32480809478784,2.04545302531077
2011,0.90476554199995,1,Low Reward,High Penalty,fixedPenalty,Incongruent,-0.5,1,-1.31888775450645,-1.41228760329128
2011,0.79670784100017,1,Low Reward,High Penalty,fixedPenalty,Congruent,0.5,2,-1.31592758436576,-0.887462403912959
2011,0.769103189999441,1,Low Reward,High Penalty,fixedPenalty,Incongruent,-0.5,3,-1.31296741422506,-0.37647833182703
2011,0.536114402999374,1,Low Reward,High Penalty,fixedPenalty,Incongruent,-0.5,4,-1.31000724408437,0.0176838518574688
2011,0.362199348997819,1,Low Reward,High Penalty,fixedPenalty,Incongruent,-0.5,5,-1.30704707394367,0.324644049165292
2011,0.373049279001862,1,Low Reward,High Penalty,fixedPenalty,Congruent,0.5,6,-1.30408690380298,0.637044462409752
2011,0.427713021999807,1,Low Reward,High Penalty,fixedPenalty,Congruent,0.5,7,-1.30112673366228,0.976853583885774
2011,0.534741438998026,1,Low Reward,High Penalty,fixedPenalty,Incongruent,-0.5,8,-1.29816656352158,1.37032735569685
2011,0.41999149700132,1,Low Reward,High Penalty,fixedPenalty,Congruent,0.5,9,-1.29520639338089,1.70626486110381
2011,1.14364184099759,1,High Reward,High Penalty,fixedPenalty,Incongruent,-0.5,1,-1.2892860530995,-1.29251368325606
2011,0.60219517799851,1,High Reward,High Penalty,fixedPenalty,Congruent,0.5,2,-1.2863258829588,-0.865218227271949
2011,0.623950171997421,1,High Reward,High Penalty,fixedPenalty,Congruent,0.5,3,-1.28336571281811,-0.427014694921428
2011,0.615616170001886,1,High Reward,High Penalty,fixedPenalty,Congruent,0.5,4,-1.28040554267741,0.00701012194842369
2011,0.760337563999201,1,High Reward,High Penalty,fixedPenalty,Incongruent,-0.5,5,-1.27744537253672,0.513599059849768
2011,1.05915226900106,1,High Reward,High Penalty,fixedPenalty,Incongruent,-0.5,6,-1.27448520239602,1.17001537172007
2011,0.610792693998519,1,High Reward,High Penalty,fixedPenalty,Congruent,0.5,7,-1.27152503225533,1.601621670589
2011,0.691583755000465,1,Low Reward,Low Penalty,fixedPenalty,Incongruent,-0.5,1,-1.26560469197394,-1.51917815047484
2011,0.64078021000023,1,Low Reward,Low Penalty,fixedPenalty,Incongruent,-0.5,2,-1.26264452183324,-1.07253594239802
2011,0.645510272999672,1,Low Reward,Low Penalty,fixedPenalty,Incongruent,-0.5,3,-1.25968435169254,-0.623522054125919
2011,0.620264828998188,1,Low Reward,Low Penalty,fixedPenalty,Incongruent,-0.5,4,-1.25672418155185,-0.187166373485863
2011,0.393276790997334,1,Low Reward,Low Penalty,fixedPenalty,Congruent,0.5,5,-1.25376401141115,0.135376228056152
2011,0.539929896000103,1,Low Reward,Low Penalty,fixedPenalty,Congruent,0.5,6,-1.25080384127046,0.531451521393982
2011,0.476465322997683,1,Low Reward,Low Penalty,fixedPenalty,Congruent,0.5,7,-1.24784367112976,0.895705320829914
2011,0.627368488003412,1,Low Reward,Low Penalty,fixedPenalty,Congruent,0.5,1,-1.24192333084837,-1.55137604656842
2011,0.625529297001776,1,Low Reward,Low Penalty,fixedPenalty,Incongruent,-0.5,2,-1.23896316070768,-1.11238073205788
2011,0.49123457099995,1,Low Reward,Low Penalty,fixedPenalty,Incongruent,-0.5,3,-1.23600299056698,-0.740721548594204
2011,0.445045016000222,1,Low Reward,Low Penalty,fixedPenalty,Congruent,0.5,4,-1.23304282042629,-0.392222067831105
2011,0.457266229001107,1,Low Reward,Low Penalty,fixedPenalty,Congruent,0.5,5,-1.23008265028559,-0.0375948021230634
2011,0.525999646000855,1,Low Reward,Low Penalty,fixedPenalty,Congruent,0.5,7,-1.2241623100042,0.719635492576627
2011,0.467719471998862,1,Low Reward,Low Penalty,fixedPenalty,Congruent,0.5,8,-1.22120213986351,1.07950407312492
2011,1.09950004699931,1,Low Reward,Low Penalty,fixedPenalty,Congruent,0.5,9,-1.21824196972281,1.75615098784633
2011,0.502257703999931,1,Low Reward,Low Penalty,fixedPenalty,Incongruent,-0.5,1,-1.21528179958211,-1.61410729743615
2011,0.772589807998884,1,Low Reward,Low Penalty,fixedPenalty,Incongruent,-0.5,2,-1.21232162944142,-1.10137501547251
2011,0.506121107999206,1,Low Reward,Low Penalty,fixedPenalty,Incongruent,-0.5,3,-1.20936145930072,-0.722251638618231
2011,1.41246862499975,1,Low Reward,Low Penalty,fixedPenalty,Incongruent,-0.5,4,-1.20640128916003,0.111319481611441
2011,0.673031192000053,1,Low Reward,Low Penalty,fixedPenalty,Congruent,0.5,5,-1.20344111901933,0.574132513479955
2011,0.490619077998417,1,Low Reward,Low Penalty,fixedPenalty,Congruent,0.5,6,-1.20048094887864,0.945483085290416
2011,0.432739095998841,1,Low Reward,Low Penalty,fixedPenalty,Incongruent,-0.5,7,-1.19752077873794,1.28781230854203
2011,0.798069682001369,1,Low Reward,Low Penalty,fixedPenalty,Incongruent,-0.5,1,-1.19160043845655,-1.46578550767603
2011,1.0680389070003,1,Low Reward,Low Penalty,fixedPenalty,Incongruent,-0.5,2,-1.18864026831586,-0.804913385524131
