SubID,RewardLevel,PenaltyLevel,CueDisplayed,Interval,IntervalLength_Ideal,IntervalLength_Actual,IntervalLengthNoISI_Actual,TaskBugCorrected,NumErrorTrials,RewardLevelTaskCode,PenaltyLevelTaskCode
2011,0,1,Rew1_Pen2,125,8.4,8.40730553499816,6.40730553499816,0,0,0,1
2011,0,1,Rew1_Pen2,126,6.8,6.80431453500205,4.80431453500205,1,0,0,0
2011,0,0,Rew1_Pen1,127,6,6.00386087899824,4.25386087899824,0,0,0,0
2011,0,0,Rew1_Pen1,128,6,6.00120916000014,4.25120916000014,0,0,0,0
2012,0,0,Rew1_Pen1,1,7.6,7.60250856299899,5.85250856299899,1,0,0,1
2012,0,1,Rew1_Pen2,2,8.4,8.41054943200288,6.66054943200288,0,0,0,1
2012,0,1,Rew1_Pen2,3,6.8,6.80647199899977,5.30647199899977,1,0,0,0
2012,0,0,Rew1_Pen1,4,6,6.0069914079977,4.5069914079977,0,0,0,0
2012,0,1,Rew1_Pen2,5,6.8,6.80700798399994,5.30700798399994,1,0,0,0
2012,0,0,Rew1_Pen1,6,7.6,7.60114662900014,5.60114662900014,1,0,0,1
2012,0,1,Rew1_Pen2,7,8.4,8.40723101399999,6.40723101399999,0,0,0,1
2012,0,0,Rew1_Pen1,8,6,6.00668426300035,4.50668426300035,0,0,0,0
2012,0,0,Rew1_Pen1,9,7.6,7.6011996399975,5.6011996399975,1,0,0,1
2012,0,1,Rew1_Pen2,10,6.8,6.80713376399945,5.55713376399945,1,0,0,0
2012,0,1,Rew1_Pen2,11,6.8,6.80713822600228,5.30713822600228,1,0,0,0
2012,0,0,Rew1_Pen1,12,7.6,7.60645241500242,5.60645241500242,1,0,0,1
2012,0,0,Rew1_Pen1,13,6,6.01133882399881,4.76133882399881,0,0,0,0
2012,0,1,Rew1_Pen2,14,8.4,8.4110859249995,6.9110859249995,0,0,0,1
2012,0,0,Rew1_Pen1,15,6,6.00120860099923,4.50120860099923,0,0,0,0
2012,0,1,Rew1_Pen2,16,8.4,8.40114922000066,6.40114922000066,0,0,0,1
2012,1,1,Rew2_Pen2,17,6.8,6.80983134099733,5.05983134099733,1,0,1,0
2012,1,1,Rew2_Pen2,18,6.8,6.80115429500074,5.05115429500074,1,0,1,0
2012,1,1,Rew2_Pen2,19,8.4,8.40121769599864,5.65121769599864,0,0,1,1
2012,1,0,Rew2_Pen1,20,7.6,7.60646866300158,5.85646866300158,1,0,1,1
2012,1,0,Rew2_Pen1,21,6,6.00706820699997,4.75706820699997,0,0,1,0
2012,1,0,Rew2_Pen1,22,7.6,7.61047567900096,5.61047567900096,1,0,1,1
2012,1,0,Rew2_Pen1,23,6,6.16539633999855,4.41539633999855,0,0,1,0
2012,1,1,Rew2_Pen2,24,8.4,8.63962627599903,7.13962627599903,0,1,1,1
2012,1,1,Rew2_Pen2,25,6.8,6.80829956399975,5.05829956399975,1,0,1,0
2012,1,0,Rew2_Pen1,26,6,6.03329614600079,4.53329614600079,0,0,1,0
2012,1,1,Rew2_Pen2,27,6.8,6.80115027099964,5.05115027099964,1,0,1,0
2012,1,0,Rew2_Pen1,28,7.6,7.60117648699816,5.35117648699816,1,0,1,1
2012,1,1,Rew2_Pen2,29,8.4,8.40701305000039,6.40701305000039,0,0,1,1
2012,1,0,Rew2_Pen1,30,6,6.00713196900324,4.50713196900324,0,0,1,0
2012,1,0,Rew2_Pen1,31,7.6,7.85690254200017,5.85690254200017,1,0,1,1
2012,1,1,Rew2_Pen2,32,8.4,8.40693992099841,6.65693992099841,0,2,1,1
2012,1,0,Rew2_Pen1,33,8.4,8.40716818999863,6.15716818999863,0,0,1,0
2012,0,0,Rew1_Pen1,34,6,6.00706814099976,4.50706814099976,0,0,0,0
2012,1,0,Rew2_Pen1,35,7.6,7.60710045900123,6.10710045900123,0,1,1,0
2012,0,0,Rew1_Pen1,36,6.8,6.8012027520017,4.8012027520017,0,0,0,0
2012,1,0,Rew2_Pen1,37,8.4,8.40692020399729,6.15692020399729,0,0,1,0
2012,0,0,Rew1_Pen1,38,8.4,8.40699655099888,6.15699655099888,0,0,0,0
2012,1,0,Rew2_Pen1,39,7.6,7.60697163800069,5.60697163800069,0,0,1,0
2012,0,0,Rew1_Pen1,40,7.6,7.61070465100056,5.86070465100056,0,2,0,0
2012,1,0,Rew2_Pen1,41,6.8,6.80120966999675,4.55120966999675,0,0,1,0
2012,1,0,Rew2_Pen1,42,6.8,6.81101777100048,5.06101777100048,0,0,1,0
2012,1,0,Rew2_Pen1,43,6,6.03209151199917,4.28209151199917,0,0,1,0
2012,0,0,Rew1_Pen1,44,7.6,7.60115226900234,5.35115226900234,0,0,0,0
2012,1,0,Rew2_Pen1,45,6,6.09904668099989,4.34904668099989,0,1,1,0
2012,0,0,Rew1_Pen1,46,6.8,6.80114884700015,5.05114884700015,0,0,0,0
2012,0,0,Rew1_Pen1,47,8.4,8.40692820800177,6.15692820800177,0,0,0,0
2012,0,0,Rew1_Pen1,48,6,6.00706972300031,4.50706972300031,0,0,0,0
2012,0,1,Rew1_Pen2,49,7.6,7.73163506100173,6.48163506100173,0,1,0,1
2012,1,1,Rew2_Pen2,50,7.6,7.60703088999799,5.60703088999799,0,0,1,1
2012,1,1,Rew2_Pen2,51,7.6,7.60716878899984,6.10716878899984,0,1,1,1
2012,0,1,Rew1_Pen2,52,6.8,6.82495180399928,5.07495180399928,0,0,0,1
2012,1,1,Rew2_Pen2,53,6,6.00745723399814,5.25745723399814,0,1,1,1
2012,1,1,Rew2_Pen2,54,6.8,6.80119593700147,4.80119593700147,0,0,1,1
2012,1,1,Rew2_Pen2,55,8.4,8.40692696000042,6.65692696000042,0,0,1,1
2012,0,1,Rew1_Pen2,56,6,6.01125658399906,4.51125658399906,0,0,0,1
2012,0,1,Rew1_Pen2,57,6,6.00675167899681,4.75675167899681,0,0,0,1
2012,0,1,Rew1_Pen2,58,8.4,8.4081982730022,6.6581982730022,0,0,0,1
2012,0,1,Rew1_Pen2,59,8.4,8.40817702099957,6.40817702099957,0,0,0,1
2012,1,1,Rew2_Pen2,60,8.4,8.40704522199667,6.40704522199667,0,0,1,1
2012,0,1,Rew1_Pen2,61,7.6,7.60115110600236,5.85115110600236,0,1,0,1
2012,0,1,Rew1_Pen2,62,6.8,6.86656409699935,4.86656409699935,0,0,0,1
2012,1,1,Rew2_Pen2,63,6,6.21543276300144,4.46543276300144,0,0,1,1
2012,1,1,Rew2_Pen2,64,6.8,6.82524859399928,5.57524859399928,0,1,1,1
2012,0,0,Rew1_Pen1,65,7.6,7.6006296380001,5.3506296380001,1,0,0,1
2012,0,0,Rew1_Pen1,66,7.6,7.60757111299972,5.60757111299972,1,0,0,1
2012,0,0,Rew1_Pen1,67,7.6,7.60721420200207,5.60721420200207,1,0,0,1
2012,0,1,Rew1_Pen2,68,8.4,8.40015490699807,6.15015490699807,0,0,0,1
2012,0,0,Rew1_Pen1,69,6,6.00651386100071,5.00651386100071,0,0,0,0
2012,0,1,Rew1_Pen2,70,6.8,7.05723959099851,5.55723959099851,1,0,0,0
2012,0,1,Rew1_Pen2,71,6.8,6.80705164400206,5.30705164400206,1,0,0,0
2012,0,0,Rew1_Pen1,72,7.6,7.60114353999961,5.85114353999961,1,0,0,1
